Hybrid,Baseline,NDCG_Improvement_%,HR_Improvement_%,Sig_Level
bert_hybrid_fixed,bert4rec,5.750654,5.307592,p < 0.01
bert_hybrid_fixed,sasrec,54.614917,47.715738,p < 0.01
bert_hybrid_fixed,gru4rec,125.321672,116.089105,p < 0.01
bert_hybrid_fixed,lightgcn,553.826130,485.906042,p < 0.01
bert_hybrid_discrete,bert4rec,0.337994,2.895044,p ≥ 0.05
bert_hybrid_discrete,sasrec,46.701227,44.331639,p < 0.01
bert_hybrid_discrete,gru4rec,113.788982,111.138604,p < 0.01
bert_hybrid_discrete,lightgcn,520.361200,472.483207,p < 0.01
bert_hybrid_continuous,bert4rec,-1.285374,0.120619,p < 0.05
bert_hybrid_continuous,sasrec,44.327747,40.439932,p < 0.01
bert_hybrid_continuous,gru4rec,110.330090,105.445538,p < 0.01
bert_hybrid_continuous,lightgcn,510.324376,457.046972,p < 0.01
bert_hybrid_learnable,bert4rec,-3.451400,-1.688792,p < 0.05
bert_hybrid_learnable,sasrec,41.160866,37.901858,p < 0.01
bert_hybrid_learnable,gru4rec,105.714966,101.732662,p < 0.01
bert_hybrid_learnable,lightgcn,496.932459,446.979846,p < 0.01
